Organization,Title,Description,URL,Tags,Geospatial Coverage,License,Resource Permissions,sequence_data_type,absorbance_260_230_ratio,absorbance_260_280_ratio,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,acid_volatile_sulphides,acid_volatile_sulphides_meth,agrochem_addition,alkalinity,alkalinity_meth,allo,allo_meth,alpha_beta_car,alpha_beta_car_meth,am_environment,ammonium,ammonium_meth,ammonium_nitrogen_wt,ammonium_nitrogen_wt_meth,anth,anth_meth,antimony,antimony_meth,archive_ingestion_date,arsenic,arsenic_meth,asta,asta_meth,average_host_abundance,average_host_abundance_meth,barium,barium_meth,base_url,beta_beta_car,beta_beta_car_meth,beta_epi_car,beta_epi_car_meth,biotic_relationship,bleaching,boron_hot_cacl2,boron_hot_cacl2_meth,but_fuco,but_fuco_meth,cadmium,cadmium_meth,cantha,cantha_meth,carbonate_bicarbonate,carbonate_bicarbonate_meth,cation_exchange_capacity,cation_exchange_capacity_meth,cerium,cerium_meth,cesium,cesium_meth,chloride,chloride_meth,chlorophyll_a,chlorophyll_a_meth,chlorophyll_b,chlorophyll_b_meth,chlorophyll_c1,chlorophyll_c1_meth,chlorophyll_c1c2,chlorophyll_c1c2_meth,chlorophyll_c2,chlorophyll_c2_meth,chlorophyll_c3,chlorophyll_c3_meth,chlorophyll_ctd,chlorophyll_ctd_meth,chromium,chromium_meth,citation,clay,clay_meth,coarse_sand,coarse_sand_meth,coastal_id,cobalt,cobalt_meth,collection_date,color,color_meth,conductivity,conductivity_aqueous,conductivity_aqueous_meth,conductivity_meth,conversion_software,conversion_software_version,cphlide_a,cphlide_a_meth,crop_rotation_1yr_since_present,crop_rotation_2yrs_since_present,crop_rotation_3yrs_since_present,crop_rotation_4yrs_since_present,crop_rotation_5yrs_since_present,data_generated,data_type,database_schema_definitions_url,dataset_url,date_of_transfer,date_since_change_in_land_use,days_since_planting,density,density_meth,depth,depth_lower,depth_upper,description,diadchr,diadchr_meth,diadino,diadino_meth,diato,diato_meth,dino,dino_meth,dna_concentration,dna_concentration_method,dna_concentration_submitter,dna_concentration_submitter_meth,dtpa_copper,dtpa_copper_meth,dtpa_iron,dtpa_iron_meth,dtpa_manganese,dtpa_manganese_meth,dtpa_zinc,dtpa_zinc_meth,dv_cphl_a,dv_cphl_a_and_cphl_a,dv_cphl_a_and_cphl_a_meth,dv_cphl_a_meth,dv_cphl_b,dv_cphl_b_and_cphl_b,dv_cphl_b_and_cphl_b_meth,dv_cphl_b_meth,dysprosium,dysprosium_meth,echin,echin_meth,elev,env_broad_scale,env_local_scale,env_medium,erbium,erbium_meth,europium,europium_meth,exc_aluminium,exc_aluminium_meth,exc_calcium,exc_calcium_meth,exc_magnesium,exc_magnesium_meth,exc_potassium,exc_potassium_meth,exc_sodium,exc_sodium_meth,extreme_event,facility_code,fine_sand,fine_sand_meth,fine_sediment,fine_sediment_meth,fire,fire_intensity_if_known,flooding,flowcell,fluor,fluor_meth,folder_name,fouling,fouling_organisms,fresh_weight,fresh_weight_meth,fuco,fuco_meth,funding_agency,gadolinium,gadolinium_meth,gallium,gallium_meth,general_env_feature,geo_loc_name,germanium,germanium_meth,gold,gold_meth,gravel,gravel_percent_meth,grazing,grazing_number,gyro,gyro_meth,hafnium,hafnium_meth,hex_fuco,hex_fuco_meth,holmium,holmium_meth,horizon,host_abundance,host_abundance_mean,host_abundance_seaweed_mean,host_associated_microbiome_zone,host_species_variety,host_state,host_type,icp_te_boron,icp_te_boron_meth,icp_te_calcium,icp_te_calcium_meth,icp_te_copper,icp_te_copper_meth,icp_te_iron,icp_te_iron_meth,icp_te_manganese,icp_te_manganese_meth,icp_te_phosphorus,icp_te_phosphorus_meth,icp_te_sulfur,icp_te_sulfur_meth,icp_te_zinc,icp_te_zinc_meth,immediate_previous_land_use,imos_site_code,information,inorganic_fraction,inorganic_fraction_meth,insert_size_range,iridium,iridium_meth,keto_hex_fuco,keto_hex_fuco_meth,lanthanum,lanthanum_meth,lat_lon,latitude,lead,lead_meth,length,library_construction_protocol,light_intensity,light_intensity_bottom,light_intensity_bottom_meth,light_intensity_meadow,light_intensity_meadow_meth,light_intensity_meth,light_intensity_surface,light_intensity_surface_meth,local_class,local_class_meth,longitude,lut,lut_meth,lutetium,lutetium_meth,lyco,lyco_meth,magnesium,magnesium_meth,mg_dvp,mg_dvp_meth,microbial_abundance,microbial_abundance_meth,microbial_biomass,microbial_biomass_meth,molybdenum,molybdenum_meth,mud,mud_meth,myxo,myxo_meth,name,neo,neo_meth,neodymium,neodymium_meth,nickel,nickel_meth,niobium_columbium,niobium_columbium_meth,nitrate,nitrate_meth,nitrate_nitrite,nitrate_nitrite_meth,nitrate_nitrogen,nitrate_nitrogen_meth,nitrite,nitrite_meth,notes,npic,npic_meth,npoc,npoc_meth,nrs_sample_code,nrs_trip_code,nucl_acid_ext,number_of_raw_reads,number_pcr_cycle,omics,org_matter,org_matter_meth,organic_carbon,organic_carbon_meth,organic_fraction,organic_fraction_meth,osmium,osmium_meth,oxygen,oxygen_ctd_vol,oxygen_ctd_vol_meth,oxygen_ctd_wt,oxygen_ctd_wt_meth,oxygen_meth,palladium,palladium_meth,pam_fluorometer,pam_fluorometer_meth,par,par_meth,part_org_carb,part_org_carb_meth,perid,perid_meth,ph,ph_meth,ph_solid_h2o,ph_solid_h2o_meth,phide_a,phide_a_meth,phosphate,phosphate_meth,phosphorus_colwell,phosphorus_colwell_meth,phytin_a,phytin_a_meth,phytin_b,phytin_b_meth,picoeukaryotes,picoeukaryotes_meth,plant_id,plant_stage,plant_stage_meth,platinum,platinum_meth,pn,pn_meth,potassium,potassium_colwell,potassium_colwell_meth,potassium_meth,pras,pras_meth,praseodymium,praseodymium_meth,pres_rel,pres_rel_meth,prochlorococcus,prochlorococcus_meth,profile_position,pyrophide_a,pyrophide_a_meth,pyrophytin_a,pyrophytin_a_meth,rhodium,rhodium_meth,root_length,root_length_meth,rubidium,rubidium_meth,ruthenium,ruthenium_meth,salinity,salinity_lab,salinity_lab_meth,salinity_meth,samarium,samarium_meth,samp_collect_device,samp_mat_process,samp_size,samp_vol_we_dna_ext,sample_attribution,sample_database_file,sample_id,sample_integrity_warnings,sample_metadata_ingest_date,sample_metadata_ingest_file,sample_metadata_update_history,sample_site_location_description,sample_submission_date,sample_submitter,sample_type,sample_volume_notes,sand,sand_meth,scandium,scandium_meth,secchi_depth,secchi_depth_meth,sediment_grain_size,sediment_grain_size_fract,sediment_grain_size_fract_meth,sediment_grain_size_meth,sediment_porewater_h4sio4,sediment_porewater_h4sio4_meth,sediment_porewater_nh4,sediment_porewater_nh4_meth,sediment_porewater_no2,sediment_porewater_no2_meth,sediment_porewater_no3,sediment_porewater_no3_meth,sediment_porewater_po43,sediment_porewater_po43_meth,sedimentation_rate,sedimentation_rate_meth,selenium,selenium_meth,sequencer,shoot_length,shoot_length_meth,silicate,silicate_meth,silt,silt_meth,silver,silver_meth,sio2,sio2_meth,slope_aspect,slope_aspect_meth,slope_gradient,slope_gradient_meth,sodium,sodium_meth,source_mat_id,specific_host,store_cond,strontium,strontium_meth,sulphur,sulphur_meth,synecochoccus,synecochoccus_meth,tantalum,tantalum_meth,temp,temp_meth,terbium,terbium_meth,texture,texture_meth,thorium,thorium_meth,thulium,thulium_meth,ticket,tillage,tin,tin_meth,tot_carb,tot_carb_meth,tot_depth_water_col,tot_depth_water_meth,tot_n_meth,tot_nitro,tot_org_c_meth,tot_org_carb,tot_phosp,tot_phosp_meth,total_co2,total_co2_meth,total_inorganic_carbon,total_inorganic_carbon_meth,total_nitrogen,total_nitrogen_meth,total_phosphorous,total_phosphorous_meth,touching_organisms,transmittance,transmittance_meth,tss,tss_meth,tungsten,tungsten_meth,turbidity,turbidity_meth,uranium,uranium_meth,url,utc_date_sampled,utc_time_sampled,vanadium,vanadium_meth,vegetation_dom_grasses,vegetation_dom_shrubs,vegetation_dom_trees,vegetation_total_cover,vegetation_type,viola,viola_meth,voyage_code,voyage_survey_link,water_content,water_content_soil_meth,water_holding_capacity,water_holding_capacity_meth,ytterbium,ytterbium_meth,yttrium,yttrium_meth,zea,zea_meth,zirconium,zirconium_meth,zooplankton_biomass,zooplankton_biomass_meth
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137953,MGE ,bpa-amdb-metagenomics-novaseq-137953-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137953-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,62295620.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137953,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137954,MGE ,bpa-amdb-metagenomics-novaseq-137954-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137954-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,45836244.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137954,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137955,MGE ,bpa-amdb-metagenomics-novaseq-137955-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137955-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,48555446.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137955,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137956,MGE ,bpa-amdb-metagenomics-novaseq-137956-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137956-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,47269491.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137956,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137967,MGE ,bpa-amdb-metagenomics-novaseq-137967-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137967-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,49352693.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137967,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137968,MGE ,bpa-amdb-metagenomics-novaseq-137968-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137968-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,41602895.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137968,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137969,MGE ,bpa-amdb-metagenomics-novaseq-137969-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137969-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,51917547.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137969,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137970,MGE ,bpa-amdb-metagenomics-novaseq-137970-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137970-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,47681407.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137970,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137980,MGE ,bpa-amdb-metagenomics-novaseq-137980-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137980-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,43758343.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137980,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a9f0a5-fc60-4af6-b455-32e2011d969b,Australian Microbiome Metagenomics Novaseq 102.100.100/137981,MGE ,bpa-amdb-metagenomics-novaseq-137981-hytfvdsxx,,,CC-BY-4.0-AU,organization_member_after_embargo:archive_ingestion_date:90:am-consortium-members,illumina-shortread,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,,,,,,,,https://downloads-qcif.bioplatforms.com/bpa/amd/metagenomics-novaseq/ramaciotti/BPAOPS-899/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcl2fastq2,v2.20,,,,,,,,2020-05-07,MGE,,,2020-05-04,,,,,,,,NovaSeq data package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaciotti,,,,,,,,HYTFVDSXX,,,20200504_AM_MGE_UNSW_HYTFVDSXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150-1500,,,,,,,,,,,,Nextera DNA Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpa-amdb-metagenomics-novaseq-137981-hytfvdsxx,,,,,,,,,,,,,,,,,MGE ,,,,,,,,50315805.0,,metagenomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.100.100/137981,,,,,,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,NovaSeq 6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPAOPS-899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
